#BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Publication Source,Organism ID Interactor A,Organism ID Interactor B,Throughput,Score,Modification,Qualifications,Tags,Source Database,SWISS-PROT Accessions Interactor A,TREMBL Accessions Interactor A,REFSEQ Accessions Interactor A,SWISS-PROT Accessions Interactor B,TREMBL Accessions Interactor B,REFSEQ Accessions Interactor B,Ontology Term IDs,Ontology Term Names,Ontology Term Categories,Ontology Term Qualifier IDs,Ontology Term Qualifier Names,Ontology Term Types,Organism Name Interactor A,Organism Name Interactor B
13594,22927,10399,116587,115671,RP11-172F4.4,HLC7,HABP4,GNB2L1,IHABP-4|IHABP4|Ki-1/57|SERBP1L,Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1,Two-hybrid,physical,Nery FC (2004),PUBMED:14699138,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q5JVS0,-,NP_055097,P63244,E9KL35,NP_006089,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13597,8439,10399,114019,115671,-,HLC7,NSMAF,GNB2L1,FAN,Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1,Two-hybrid,physical,Tcherkasowa AE (2002),PUBMED:12391233,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q92636,-,NP_003571|NP_001138244,P63244,E9KL35,NP_006089,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13611,367,10399,106862,115671,RP11-383C12.1,HLC7,AR,GNB2L1,AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM,Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1,Two-hybrid,physical,Rigas AC (2003),PUBMED:12958311,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P10275,F1D8N5,NP_001011645|NP_000035,P63244,E9KL35,NP_006089,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13618,3689,10399,109895,115671,-,HLC7,ITGB2,GNB2L1,CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7,Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1,Two-hybrid,physical,Liliental J (1998),PUBMED:9442085,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P05107,B4E0R1,NP_000202|NP_001120963|NP_001290167,P63244,E9KL35,NP_006089,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13627,10399,22927,115671,116587,HLC7,RP11-172F4.4,GNB2L1,HABP4,Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1,IHABP-4|IHABP4|Ki-1/57|SERBP1L,Two-hybrid,physical,Nery FC (2004),PUBMED:14699138,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P63244,E9KL35,NP_006089,Q5JVS0,-,NP_055097,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13646,5170,5590,111196,111576,-,RP11-181G12.1,PDPK1,PRKCZ,PDK1|PDPK2|PDPK2P|PRO0461,PKC-ZETA|PKC2,Two-hybrid,physical,Balendran A (2000),PUBMED:10764742,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O15530,E9PER6,NP_002604|NP_001248745|NP_112558,Q05513,-,NP_001028754|NP_002735|NP_001229803|NP_001028753,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13649,23286,5590,116884,111576,-,RP11-181G12.1,WWC1,PRKCZ,HBEBP3|HBEBP36|KIBRA|MEMRYQTL|PPP1R168,PKC-ZETA|PKC2,Two-hybrid,physical,Buether K (2004),PUBMED:15081397,9606,9606,Low Throughput,-,-,figure 1,-,BIOGRID,Q8IX03,-,NP_001155134|NP_001155133|NP_056053,Q05513,-,NP_001028754|NP_002735|NP_001229803|NP_001028753,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13730,2033,4094,108347,110269,RP1-85F18.1,-,EP300,MAF,KAT3B|RSTS2|p300,CCA4|c-MAF,Two-hybrid,physical,Chen Q (2002),PUBMED:11943779,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q09472,Q7Z6C1,NP_001349772|NP_001420,O75444,-,NP_005351|NP_001026974,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13810,398,391,106891,106884,LA16c-314G4.1,-,ARHGDIG,RHOG,RHOGDI-3,ARHG,Two-hybrid,physical,Zalcman G (1996),PUBMED:8939998,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q99819,F1T0H7,NP_001167,P84095,Q6ICQ8,NP_001656,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13846,23607,5867,117140,111805,-,-,CD2AP,RAB4A,CMS,HRES-1|HRES-1/RAB4|HRES1|RAB4,Two-hybrid,physical,Cormont M (2003),PUBMED:12559036,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9Y5K6,-,NP_036252,P20338,A0A024R3U9|A0A087WYT5,NP_004569|NP_001258927,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13869,9135,5868,114583,111806,-,-,RABEP1,RAB5A,RAB5EP|RABPT5,RAB5,Two-hybrid,physical,Xiao GH (1997),PUBMED:9045618,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q15276,B4DMM4,NP_001278510|NP_001278511|NP_004694|NP_001077054,P20339,A0A024R2K1,NP_001278977|NP_004153,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13896,79890,5869,122974,111807,-,-,RIN3,RAB5B,-,-,Two-hybrid,physical,Kajiho H (2003),PUBMED:12972505,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q8TB24,Q86U22,NP_079108,P61020,A0A024RB09,NP_002859|NP_001238965|NP_001238966,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13910,5147,5906,111173,111841,-,-,PDE6D,RAP1A,JBTS22|PDED,C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21,Two-hybrid,physical,Nancy V (2002),PUBMED:11786539,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O43924,B8ZZK5|Q6IB24,NP_002592|NP_001277947,P62834,A8KAH9,NP_001278825|NP_001357146|NP_001010935|NP_002875|NP_001357145,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13928,5910,5906,111845,111841,-,-,RAP1GDS1,RAP1A,GDS1|SmgGDS,C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21,Two-hybrid,physical,Vikis HG (2002),PUBMED:11948427,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P52306,B7Z4M5|B3KNU0|Q6U7G8,NP_066982|NP_001093900|NP_001093899|NP_001093898|NP_001093897|NP_001093896,P62834,A8KAH9,NP_001278825|NP_001357146|NP_001010935|NP_002875|NP_001357145,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13929,889,5906,107330,111841,-,-,KRIT1,RAP1A,CAM|CCM1,C21KG|G-22K|KREV-1|KREV1|RAP1|SMGP21,Two-hybrid,physical,Serebriiskii I (1997),PUBMED:9285558,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O00522,A4D1F7,NP_919438|NP_001337621|NP_001337620|NP_001337623|NP_001337622|NP_001337625|NP_001337624|NP_001337626|NP_001337603|NP_001337602|NP_001337601|NP_001337600|NP_001337607|NP_001337606|NP_001337605|NP_001337604|NP_001337609|NP_001337608|NP_001013424|NP_004903|NP_001337610|NP_001337611|NP_001337612|NP_001337613|NP_001337614|NP_001337615|NP_001337616|NP_001337617|NP_001337618|NP_001337619|NP_919436|NP_919437,P62834,A8KAH9,NP_001278825|NP_001357146|NP_001010935|NP_002875|NP_001357145,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13932,5863,5908,111801,111843,DADB-159G18.6,OK/SW-cl.11,RGL2,RAP1B,HKE1.5|KE1.5|RAB2L,K-REV|RAL1B,Two-hybrid,physical,Peterson SN (1996),PUBMED:8939933,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O15211,A0A024RCS9,NP_004752|NP_001230667,P61224,A0A024RB87|B7ZAY2,NP_001010942|NP_001238846|NP_001238850|NP_001238851|NP_056461|NP_001238847,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13952,5147,5912,111173,111847,-,-,PDE6D,RAP2B,JBTS22|PDED,-,Two-hybrid,physical,Nancy V (2002),PUBMED:11786539,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O43924,B8ZZK5|Q6IB24,NP_002592|NP_001277947,P61225,-,NP_002877,-,-,-,-,-,-,Homo sapiens,Homo sapiens
13975,149371,5898,127206,111834,-,-,EXOC8,RALA,EXO84|Exo84p|SEC84,RAL,Two-hybrid,physical,Moskalenko S (2003),PUBMED:14525976,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q8IYI6,-,NP_787072,P11233,-,NP_005393,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14055,675,5888,107142,111825,RP11-298P3.4,-,BRCA2,RAD51,BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11,BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA,Two-hybrid,physical,Sharan SK (1997),PUBMED:9126738,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P51587,-,NP_000050,Q06609,-,NP_001157742|NP_002866|NP_001157741|NP_597994,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14069,5888,10635,111825,115879,-,-,RAD51,RAD51AP1,BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA,PIR51,Two-hybrid,physical,Kovalenko OV (1997),PUBMED:9396801,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q06609,-,NP_001157742|NP_002866|NP_001157741|NP_597994,Q96B01,-,NP_001124334|NP_006470,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14071,11144,5888,116316,111825,RP1-199H16.4,-,DMC1,RAD51,DMC1H|LIM15|dJ199H16.1,BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA,Two-hybrid,physical,Masson JY (1999),PUBMED:10562567,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q14565,-,NP_001265137|NP_008999,Q06609,-,NP_001157742|NP_002866|NP_001157741|NP_597994,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14113,6117,4999,112037,111041,-,-,RPA1,ORC2,HSSB|MST075|REPA1|RF-A|RP-A|RPA70,ORC2L,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P27694,-,NP_002936|NP_001342049|NP_001342050,Q13416,A0A024R411,NP_006181,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14144,6118,4999,112038,111041,RP4-547C9.3,-,RPA2,ORC2,REPA2|RP-A p32|RP-A p34|RPA32,ORC2L,Two-hybrid,physical,Kneissl M (2003),PUBMED:12614612,9606,9606,High Throughput,-,-,-,-,BIOGRID,P15927,B4DUL2,NP_001342057|NP_002937|NP_001284487|NP_001342058|NP_001273005,Q13416,A0A024R411,NP_006181,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14200,26959,5925,117927,111860,-,RP11-174I10.1,HBP1,RB1,-,OSRC|PPP1R130|RB|p105-Rb|pRb|pp110,Two-hybrid,physical,Lavender P (1997),PUBMED:9178770,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O60381,A0A024R722|B4DJ36,NP_036389|NP_001231191,P06400,A0A024RDV3,NP_000312,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14212,5925,10131,111860,115435,RP11-174I10.1,-,RB1,TRAP1,OSRC|PPP1R130|RB|p105-Rb|pRb|pp110,HSP 75|HSP75|HSP90L|TRAP-1,Two-hybrid,physical,Chen CF (1996),PUBMED:8756626,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P06400,A0A024RDV3,NP_000312,Q12931,Q53FS6,NP_001258978|NP_057376,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14252,26574,5925,117743,111860,HSPC277,RP11-174I10.1,AATF,RB1,BFR2|CHE-1|CHE1|DED,OSRC|PPP1R130|RB|p105-Rb|pRb|pp110,Two-hybrid,physical,Bruno T (2002),PUBMED:12450794,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q9NY61,-,NP_036270,P06400,A0A024RDV3,NP_000312,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14267,5925,9984,111860,115305,RP11-174I10.1,-,RB1,THOC1,OSRC|PPP1R130|RB|p105-Rb|pRb|pp110,HPR1|P84|P84N5,Two-hybrid,physical,Durfee T (1994),PUBMED:7525595,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P06400,A0A024RDV3,NP_000312,Q96FV9,-,NP_005122,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14282,26959,5934,117927,111869,-,-,HBP1,RBL2,-,P130|Rb2,Two-hybrid,physical,Lavender P (1997),PUBMED:9178770,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O60381,A0A024R722|B4DJ36,NP_036389|NP_001231191,Q08999,-,NP_001310538|NP_001310540|NP_001310537|NP_001310539|NP_005602,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14308,6256,10902,112168,116108,-,-,RXRA,BRD8,NR2B1,SMAP|SMAP2|p120,Two-hybrid,physical,Monden T (1999),PUBMED:10517671,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P19793,Q6P3U7|F1D8Q5,NP_001278850|NP_001278849|NP_002948,Q9H0E9,B4DN43|B4DMS9|B5MCW3|B4DEG9,NP_631938|NP_006687|NP_001157798|NP_001287890|NP_001287891|NP_001287895,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14339,29982,6256,119009,112168,RP11-144G16.2,-,NRBF2,RXRA,COPR1|COPR2|NRBF-2,NR2B1,Two-hybrid,physical,Yasumo H (2000),PUBMED:10786636,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q96F24,-,NP_001269334|NP_110386,P19793,Q6P3U7|F1D8Q5,NP_001278850|NP_001278849|NP_002948,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14395,286,6005,106783,111937,-,-,ANK1,RHAG,ANK|SPH1|SPH2,CD241|RH2|RH50A|Rh50|Rh50GP|SLC42A1,Two-hybrid,physical,Nicolas V (2003),PUBMED:12719424,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P16157,B3KX39,NP_000028|NP_001135918|NP_001135917|NP_065210|NP_065211|NP_065213|NP_065209|NP_065208,Q02094,Q96E98,NP_000315,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14420,4005,5927,110191,111862,-,-,LMO2,KDM5A,RBTN2|RBTNL1|RHOM2|TTG2,RBBP-2|RBBP2|RBP2,Two-hybrid,physical,Mao S (1997),PUBMED:9129143,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P25791,-,NP_001135787|NP_005565|NP_001135788,P29375,-,NP_001036068,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14437,4005,4005,110191,110191,-,-,LMO2,LMO2,RBTN2|RBTNL1|RHOM2|TTG2,RBTN2|RBTNL1|RHOM2|TTG2,Two-hybrid,physical,Sanchez-Garcia I (1995),PUBMED:7731680,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P25791,-,NP_001135787|NP_005565|NP_001135788,P25791,-,NP_001135787|NP_005565|NP_001135788,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14440,6886,4005,112749,110191,-,-,TAL1,LMO2,SCL|TCL5|bHLHa17|tal-1,RBTN2|RBTNL1|RHOM2|TTG2,Two-hybrid,physical,Wadman I (1994),PUBMED:7957052,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P17542,Q16509,NP_001277334|NP_003180|NP_001277332|NP_001277335|NP_001277333|NP_001274276,P25791,-,NP_001135787|NP_005565|NP_001135788,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14448,26019,6230,117490,112144,-,-,UPF2,RPS25,HUPF2|RENT2|smg-3,S25,Two-hybrid,physical,Lehner B (2004),PUBMED:15231747,9606,9606,High Throughput,-,-,-,-,BIOGRID,Q9HAU5,-,NP_056357|NP_542166,P62851,-,NP_001019,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14461,6176,6181,112095,112096,-,-,RPLP1,RPLP2,LP1|P1|RPP1,D11S2243E|LP2|P2|RPP2,Two-hybrid,physical,Tchorzewski M (2000),PUBMED:10856704,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P05386,A0A024R608,NP_998890|NP_000994,P05387,A0A024RCA7,NP_000995,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14462,6181,6181,112096,112096,-,-,RPLP2,RPLP2,D11S2243E|LP2|P2|RPP2,D11S2243E|LP2|P2|RPP2,Two-hybrid,physical,Tchorzewski M (2000),PUBMED:10856704,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P05387,A0A024RCA7,NP_000995,P05387,A0A024RCA7,NP_000995,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14561,9267,10139,114688,115442,-,RP4-583P15.1,CYTH1,ARFRP1,B2-1|CYTOHESIN-1|D17S811E|PSCD1|SEC7,ARL18|ARP|Arp1,Two-hybrid,physical,Schuermann A (1999),PUBMED:10092663,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q15438,B7Z9W0,NP_001278948|NP_004753|NP_001278947|NP_059430,Q13795,A0A087WY13|V9GYH4|B7ZKY8,NP_001128230|NP_003215|NP_001254473|NP_001254474|NP_001254475|NP_001254476|NP_001254477|NP_001254478,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14598,8940,6628,114452,112512,-,-,TOP3B,SNRPB,TOP3B1,COD|SNRPB1|Sm-B/B|SmB/B|SmB/SmB|snRNP-B,Two-hybrid,physical,Kobayashi M (2001),PUBMED:11549288,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O95985,A0A024R1C2|A8K4N2,NP_003926|NP_001269041|NP_001269042,P14678,Q66K91,NP_003082|NP_937859,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14618,6626,6626,112510,112510,-,-,SNRPA,SNRPA,Mud1|U1-A|U1A,Mud1|U1-A|U1A,Two-hybrid,physical,Klein Gunnewiek JM (2000),PUBMED:10688667,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P09012,-,NP_004587,P09012,-,NP_004587,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14629,5174,6550,111200,112440,-,-,PDZK1,SLC9A3,CAP70|CLAMP|NHERF-3|NHERF3|PDZD1,NHE3,Two-hybrid,physical,Gisler SM (2003),PUBMED:14531806,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q5T2W1,-,NP_001188254|NP_001188255|NP_002605,P48764,-,NP_004165|NP_001271280,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14635,5174,6568,111200,112456,-,-,PDZK1,SLC17A1,CAP70|CLAMP|NHERF-3|NHERF3|PDZD1,NAPI-1|NPT-1|NPT1,Two-hybrid,physical,Gisler SM (2003),PUBMED:14531806,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q5T2W1,-,NP_001188254|NP_001188255|NP_002605,Q14916,-,NP_005065,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14742,286,84033,106783,123847,-,RP5-1139B12.1,ANK1,OBSCN,ANK|SPH1|SPH2,ARHGEF30|UNC89,Two-hybrid,physical,Kontrogianni-Konstantopoulos A (2003),PUBMED:12631729,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P16157,B3KX39,NP_000028|NP_001135918|NP_001135917|NP_065210|NP_065211|NP_065213|NP_065209|NP_065208,Q5VST9,A6NGQ3|H3BPX2,NP_443075|NP_001092093|NP_001258152,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14782,6662,2516,112545,108792,-,RP11-101K10.1,SOX9,NR5A1,CMD1|CMPD1|SRA1,AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3,Two-hybrid,physical,De Santa Barbara P (1998),PUBMED:9774680,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P48436,-,NP_000337,Q13285,F1D8R8,NP_004950,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14788,2516,8204,108792,113843,RP11-101K10.1,-,NR5A1,NRIP1,AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3,RIP140,Two-hybrid,physical,Mellgren G (2003),PUBMED:12782406,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q13285,F1D8R8,NP_004950,P48552,A8K171,NP_003480,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14789,2516,8204,108792,113843,RP11-101K10.1,-,NR5A1,NRIP1,AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3,RIP140,Two-hybrid,physical,Sugawara T (2001),PUBMED:11459805,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q13285,F1D8R8,NP_004950,P48552,A8K171,NP_003480,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14817,1191,1191,107603,107603,AAG4,AAG4,CLU,CLU,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,Two-hybrid,physical,Leskov KS (2003),PUBMED:12551933,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P10909,-,NP_001822,P10909,-,NP_001822,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14821,1191,7048,107603,112906,AAG4,-,CLU,TGFBR2,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII,Two-hybrid,physical,Reddy KB (1996),PUBMED:8555189,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P10909,-,NP_001822,P37173,D2JYI1|A3QNQ0,NP_003233|NP_001020018,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14900,10497,6804,115759,112676,-,-,UNC13B,STX1A,MUNC13|UNC13|Unc13h2,HPC-1|P35-1|STX1|SYN1A,Two-hybrid,physical,Betz A (1997),PUBMED:8999968,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O14795,Q4LE73,NP_001358115|NP_001317582|NP_006368,Q16623,A8MZ54|Q75ME0,NP_001159375|NP_004594,-,-,-,-,-,-,Homo sapiens,Homo sapiens
14970,939,10572,107377,115823,-,-,CD27,SIVA1,S152|S152. LPFS2|T14|TNFRSF7|Tp55,CD27BP|SIVA|Siva-1|Siva-2,Two-hybrid,physical,Prasad KV (1997),PUBMED:9177220,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P26842,-,NP_001233,O15304,-,NP_006418|NP_068355,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15096,2280,7046,108570,112904,RP11-314N13.2,RP11-96L7.1,FKBP1A,TGFBR1,FKBP-12|FKBP-1A|FKBP1|FKBP12|PKC12|PKCI2|PPIASE,AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I,Two-hybrid,physical,Wang T (1994),PUBMED:7518616,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P62942,Q0VDC6|A0A087WTS4,NP_463460|NP_000792|NP_001186715,P36897,Q5T7S2,NP_004603|NP_001124388|NP_001293139,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15105,7528,2280,113360,108570,-,RP11-314N13.2,YY1,FKBP1A,DELTA|INO80S|NF-E1|UCRBP|YIN-YANG-1,FKBP-12|FKBP-1A|FKBP1|FKBP12|PKC12|PKCI2|PPIASE,Two-hybrid,physical,Yang WM (1995),PUBMED:7541038,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P25490,-,NP_003394,P62942,Q0VDC6|A0A087WTS4,NP_463460|NP_000792|NP_001186715,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15108,2286,10565,108576,115816,-,-,FKBP2,ARFGEF1,FKBP-13|PPIase,ARFGEP1|BIG1|P200,Two-hybrid,physical,Padilla PI (2003),PUBMED:12606707,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P26885,Q53XJ5,NP_004461|NP_001128680|NP_476433,Q9Y6D6,A0A024R7X0,NP_006412,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15183,6886,54892,112749,120239,-,tcag7.1258,TAL1,NCAPG2,SCL|TCL5|bHLHa17|tal-1,CAP-G2|CAPG2|LUZP5|MTB|hCAP-G2,Two-hybrid,physical,Smith ED (2004),PUBMED:14729962,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P17542,Q16509,NP_001277334|NP_003180|NP_001277332|NP_001277335|NP_001277333|NP_001274276,Q86XI2,B3KRQ2,NP_001268861|NP_001268862|NP_060230,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15210,7295,4689,113146,110769,RP11-427L11.1,CTA-833B7.1,TXN,NCF4,TRDX|TRX|TRX1,NCF|P40PHOX|SH3PXD4,Two-hybrid,physical,Nishiyama A (1999),PUBMED:10397171,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P10599,H9ZYJ2,NP_003320|NP_001231867,Q15080,-,NP_038202|NP_000622,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15306,5573,8165,111559,113818,-,-,PRKAR1A,AKAP1,ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1,AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17,Two-hybrid,physical,Carlson CR (2003),PUBMED:12634056,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P10644,B2R5T5,NP_001263218|NP_001265362|NP_001263219|NP_002725|NP_997636|NP_997637|NP_001356318|NP_001356319,Q92667,B4DN86,NP_001357353|NP_001357352|NP_001357356|NP_001357355|NP_001357354|NP_001229831|NP_001229832|NP_003479,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15310,4647,5573,110731,111559,-,-,MYO7A,PRKAR1A,DFNA11|DFNB2|MYOVIIA|MYU7A|NSRD2|USH1B,ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1,Two-hybrid,physical,Kuessel-Andermann P (2000),PUBMED:10889203,9606,9606,Low Throughput,-,-,-,-,BIOGRID,Q13402,B9A012,NP_000251|NP_001120652|NP_001120651,P10644,B2R5T5,NP_001263218|NP_001265362|NP_001263219|NP_002725|NP_997636|NP_997637|NP_001356318|NP_001356319,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15312,5573,11216,111559,116385,-,-,PRKAR1A,AKAP10,ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1,AKAP-10|D-AKAP-2|D-AKAP2|PRKA10,Two-hybrid,physical,Huang LJ (1997),PUBMED:9326583,9606,9606,Low Throughput,-,-,-,-,BIOGRID,P10644,B2R5T5,NP_001263218|NP_001265362|NP_001263219|NP_002725|NP_997636|NP_997637|NP_001356318|NP_001356319,O43572,E7EMD6,NP_009133|NP_001317081,-,-,-,-,-,-,Homo sapiens,Homo sapiens
15335,8557,7273,114127,113124,-,-,TCAP,TTN,CMD1N|LGMD2G|T-cap|TELE|telethonin,CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD,Two-hybrid,physical,Gregorio CC (1998),PUBMED:9817758,9606,9606,Low Throughput,-,-,-,-,BIOGRID,O15273,A2TDC0,NP_003664,Q8WZ42,Q7Z3B7,NP_001243779|NP_596870|NP_596869|NP_597681|NP_003310|NP_001254479|NP_597676,-,-,-,-,-,-,Homo sapiens,Homo sapiens
